Facility Name,Facility Id,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?
Walker Ridge Fpso,1010398,Offshore,LA,00000,"X: 2,453,797.74'  Y:9,695,007.00'",,,,213112,"C,W-OFFSH",Petroleum and Natural Gas Systems,72429.01,44840.8,27545.0,43.21,,,,,,,,,,42007.76,,,,,,,,,,,,,,,,,,30421.25,,,,,,,,,,,,,,,,,,,N,N,N
"Wallingford Energy, Llc",1000069,Wallingford,CT,06460,115 JOHN ST,New Haven,41.4486,-72.8358,221112,"C,D",Power Plants,72216.032,72142.6,33.5,39.932,,,,,,,,,,88.6,72127.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Walnut Creek Compressor Station,1004392,Alvarado,TX,76009,9321 E FARM-TO-MARKET RD 917,Johnson,32.399551,-97.200581,211111,C,Petroleum and Natural Gas Systems,27742.596,27714.1,13.0,15.496,,,,,,,,,,27742.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
"Walnut Creek Energy, Llc.",1010417,City Of Industry,CA,91745,911 BIXBY DRIVE,Los Angeles,34.00843,-117.9444,221112,D,Power Plants,221685.728,221460.5,102.75,122.478,,,,,,,,,,,221685.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Walnut Energy Center,1000464,Turlock,CA,95380,600 S WASHINGTON ROAD,Stanislaus,37.4878,-120.8956,221112,D,Power Plant,699536.408,698826.2,324.0,386.208,,,,,,,,,,,699536.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Walter C Beckjord Generating Station,1000840,New Richmond,OH,45200,757 US RT 52,Clermont,38.9917,-84.2981,221112,D,Power Plants,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Walter Energy Inc. North River Mine,1011664,Berry,AL,35546,3114 CR 63 S,Fayette,33.618496,-87.606817,212112,FF,Other,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,N,N,N
"Walter Energy, Inc",1010328,Brookwood,AL,35444,16243 HWY 216,Tuscaloosa,33.26151,-87.31156,212112,FF,Other,3802503.8,32.3,3802471.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3802503.8,,,,,,N,N,N
Walter M. Higgins Iii Generating Station,1000278,Primm,NV,89019,1275 E PRIMM BLVD,Clark,35.6139,-115.3561,221112,"C,D",Power Plants,1042733.236,1041674.5,483.0,575.736,,,,,,,,,,141.7,1042591.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Walter Scott Jr. Energy Center,1001551,Council Bluffs,IA,51501,7215 NAVAJO ST,Pottawattamie,41.18,-95.8408,221112,"C,D",Power Plants,8890920.328,8821344.2,25446.5,44129.628,,,,,,,,,,2009.492,8888910.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
"Walton County Power, Llc",1001328,Monroe,GA,30656,920 BIRCH ST,Walton,33.8147,-83.6969,221112,"C,D",Power Plants,202621.8,202416.3,93.75,111.75,,,,,,,,,,305.048,202316.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Wamsutter Compressor Station,1002079,Wamsutter,WY,82336,20 RASMUSSEN RD,Sweetwater,41.750585,-108.190306,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,40731.802,39457.0,1252.75,22.052,,,,,,,,,,39477.352,,,,,,,,,,,,,,,,,,,,1254.45,,,,,,,,,,,,,,,,,N,N,N
Wansley (6052),1001015,Franklin,GA,30170,3461 HOLLINGSWORTH FERRY ROAD,Heard,33.4124,-85.0345,221112,"C,D",Power Plants,4643313.836,4606196.0,13573.75,23544.086,,,,,,,,,,4856.422,4638457.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y
Wansley (7946),1007100,Franklin,GA,30217,3461 HOLLINGSWORTH FERRY RD,Heard,33.4082,-85.0399,221112,D,Power Plants,1065134.452,1064052.7,493.5,588.252,,,,,,,,,,,1065134.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Wansley Cc,1010612,Franklin,GA,30170,3461 HOLLINGSWORTH FERRY RD,Heard,33.4071,-85.0379,221112,D,Power Plants,2974148.628,2971128.6,1377.75,1642.278,,,,,,,,,,,2974148.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Warren,1000880,Warren,PA,16365,2325 PENNSYLVANIA AVE W EXT,Warren,41.8358,-79.19,221112,C,Power Plants,5506.468,5498.7,3.0,4.768,,,,,,,,,,5506.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Warren County Power Station,1011685,Front Royal,VA,22630,477 KELLEY DRIVE,Warren,38.96986,-78.179995,221112,"C,D",Power Plants,2257391.584,2255099.3,1045.75,1246.534,,,,,,,,,,2.3,2257389.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
Warren F. Sam Beasley Pwr Station,1000121,Smyrna,DE,19977,217 ARTISAN DRIVE,Kent,39.2798,-75.6246,221112,D,Power Plants,24138.014,24104.5,13.25,20.264,,,,,,,,,,,24138.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
"Warrior Coal, Llc",1010057,Madisonville,KY,42431,57 J.E ELLIS RD.,Hopkins,37.38351,-87.61414,212112,FF,Other,408053.0,,408053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408053.0,,,,,,N,N,N
